compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PARA__L3,__PARA__L4,__PARA__L5,__PARA__L6,__PARA__L7,__PARA__L8,__PIPE__L0,__PIPE__L1,__PIPE__L2,__PIPE__L3,__PIPE__L4,__PIPE__L5,__TILE__L0,__TILE__L1,__TILE__L2,__TILE__L3,__TILE__L4,__TILE__L5
04min 37sec,2823953 (11.296ms),17717 (1%),12608 (~0%),126 (2%),22 (~0%),8 (~0%),1,1,1,1,1,1,1,1,1,off,off,off,off,off,off,1,1,1,1,1,1
06min 25sec,2949625 (11.799ms),19758 (1%),14196 (~0%),138 (3%),35 (~0%),8 (~0%),4,1,1,1,1,1,1,1,1,off,off,off,off,off,off,1,1,1,1,1,1
06min 25sec,2981013 (11.924ms),19777 (1%),14196 (~0%),138 (3%),34 (~0%),8 (~0%),5,1,1,1,1,1,1,1,1,off,off,off,off,off,off,1,1,1,1,1,1
06min 12sec,3403595 (13.614ms),19786 (1%),14212 (~0%),138 (3%),34 (~0%),8 (~0%),1,10,1,1,1,1,1,1,1,off,off,off,off,off,off,1,1,1,1,1,1
06min 06sec,3010838 (12.043ms),18836 (1%),13824 (~0%),138 (3%),33 (~0%),6 (~0%),1,1,5,1,1,1,1,1,1,off,off,off,off,off,off,1,1,1,1,1,1
06min 35sec,3076632 (12.307ms),20221 (1%),14071 (~0%),126 (2%),32 (~0%),8 (~0%),1,1,1,10,1,1,1,1,1,off,off,off,off,off,off,1,1,1,1,1,1
06min 58sec,4061758 (16.247ms),42132 (3%),156746 (6%),148 (3%),20 (~0%),6 (~0%),1,1,1,1,1,5,1,1,1,off,off,off,off,off,off,1,1,1,1,1,1
06min 08sec,1775154 (7.586ms),18657 (1%),14330 (~0%),170 (3%),22 (~0%),6 (~0%),1,1,1,1,1,1,1,5,1,off,off,off,off,off,off,1,1,1,1,1,1
06min 25sec,2275053 (9.722ms),27978 (2%),17741 (~0%),166 (3%),39 (~0%),6 (~0%),1,1,1,1,1,1,1,1,10,off,off,off,off,off,off,1,1,1,1,1,1
05min 51sec,1900826 (8.123ms),20698 (1%),15918 (~0%),182 (4%),35 (~0%),6 (~0%),4,1,1,1,1,1,1,5,1,off,off,off,off,off,off,1,1,1,1,1,1
05min 54sec,1934804 (8.268ms),20862 (1%),16293 (~0%),182 (4%),34 (~0%),6 (~0%),1,10,1,1,1,1,1,5,1,off,off,off,off,off,off,1,1,1,1,1,1
05min 47sec,1962039 (8.385ms),19776 (1%),15546 (~0%),182 (4%),33 (~0%),4 (~0%),1,1,5,1,1,1,1,5,1,off,off,off,off,off,off,1,1,1,1,1,1
06min 05sec,2027833 (8.666ms),21161 (1%),15793 (~0%),170 (3%),32 (~0%),6 (~0%),1,1,1,10,1,1,1,5,1,off,off,off,off,off,off,1,1,1,1,1,1
06min 00sec,1805454 (7.716ms),20457 (1%),17099 (~0%),170 (3%),33 (~0%),6 (~0%),1,1,1,1,2,1,1,5,1,off,off,off,off,off,off,1,1,1,1,1,1
06min 26sec,4293679 (18.349ms),27163 (2%),36543 (1%),192 (4%),20 (~0%),4 (~0%),1,1,1,1,1,2,1,5,1,off,off,off,off,off,off,1,1,1,1,1,1
05min 32sec,1402066 (5.992ms),20203 (1%),16821 (~0%),192 (4%),22 (~0%),4 (~0%),1,1,1,1,1,1,3,5,1,off,off,off,off,off,off,1,1,1,1,1,1
06min 00sec,1226254 (5.24ms),28918 (2%),19463 (~0%),210 (4%),39 (~0%),4 (~0%),1,1,1,1,1,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
05min 40sec,1349926 (5.769ms),28204 (2%),19991 (~0%),226 (5%),54 (~0%),4 (~0%),4,1,1,1,1,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
05min 39sec,1299834 (5.555ms),26607 (2%),19964 (~0%),230 (5%),43 (~0%),4 (~0%),1,5,1,1,1,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
05min 40sec,1379604 (5.896ms),26605 (2%),19971 (~0%),230 (5%),42 (~0%),4 (~0%),1,10,1,1,1,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
05min 11sec,1481946 (6.333ms),22410 (1%),18777 (~0%),204 (4%),35 (~0%),4 (~0%),1,5,1,1,1,1,3,5,1,off,off,off,off,off,off,1,1,1,1,1,1
05min 30sec,1267539 (5.417ms),30007 (2%),20677 (~0%),222 (5%),50 (~0%),2 (~0%),1,1,5,1,1,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
05min 43sec,1404567 (6.002ms),33186 (2%),23754 (1%),236 (5%),39 (~0%),3 (~0%),1,1,1,5,1,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
05min 52sec,1534467 (6.558ms),30950 (2%),23559 (~0%),200 (4%),28 (~0%),9 (~0%),1,1,1,1,5,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 20sec,2461259 (10.518ms),48160 (4%),64978 (2%),232 (5%),37 (~0%),2 (~0%),1,1,1,1,1,5,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
05min 40sec,1475496 (6.306ms),28205 (2%),19998 (~0%),226 (5%),53 (~0%),4 (~0%),8,1,1,1,1,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
07min 04sec,836369 (3.574ms),137934 (11%),157510 (6%),158 (3%),580 (8%),256 (26%),1,50,1,1,1,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
05min 31sec,1295241 (5.535ms),30000 (2%),20684 (~0%),222 (5%),50 (~0%),2 (~0%),1,1,8,1,1,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
05min 40sec,1269756 (5.426ms),30738 (2%),22533 (~0%),236 (5%),41 (~0%),3 (~0%),1,1,1,25,1,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
05min 41sec,1336304 (5.711ms),26830 (2%),19412 (~0%),218 (5%),40 (~0%),4 (~0%),1,1,1,1,10,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 20sec,1806059 (7.718ms),51921 (4%),88921 (3%),232 (5%),37 (~0%),2 (~0%),1,1,1,1,1,10,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 44sec,968441 (4.139ms),137201 (11%),158920 (6%),174 (4%),595 (8%),256 (26%),4,50,1,1,1,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 37sec,999829 (4.273ms),137220 (11%),158920 (6%),174 (4%),594 (8%),256 (26%),5,50,1,1,1,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
05min 03sec,1538290 (6.574ms),28223 (2%),19998 (~0%),226 (5%),53 (~0%),4 (~0%),10,1,1,1,1,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
04min 58sec,1618986 (6.919ms),26555 (2%),19975 (~0%),242 (5%),43 (~0%),4 (~0%),1,25,1,1,1,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 43sec,881526 (3.767ms),138990 (11%),158727 (6%),170 (3%),591 (8%),254 (26%),1,50,5,1,1,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
07min 01sec,2072488 (8.857ms),149574 (12%),204751 (8%),268 (6%),627 (9%),254 (26%),1,50,1,1,1,5,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
07min 06sec,     ?,159309 (13%),212569 (8%),268 (6%),627 (9%),254 (26%),1,50,1,1,1,7,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 44sec,1094011 (4.675ms),137202 (11%),158927 (6%),174 (4%),594 (8%),256 (26%),8,50,1,1,1,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 47sec,951865 (4.068ms),138035 (11%),159696 (6%),174 (4%),596 (8%),254 (26%),2,50,5,1,1,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 54sec,1014627 (4.336ms),137628 (11%),159314 (6%),186 (4%),595 (8%),254 (26%),4,50,5,1,1,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 48sec,1046015 (4.47ms),137647 (11%),159314 (6%),186 (4%),594 (8%),254 (26%),5,50,5,1,1,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 45sec,872438 (3.728ms),138985 (11%),158727 (6%),170 (3%),592 (8%),254 (26%),1,50,4,1,1,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 45sec,908808 (3.884ms),138983 (11%),158734 (6%),170 (3%),591 (8%),254 (26%),1,50,8,1,1,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 44sec,836369 (3.734ms),138157 (11%),159322 (6%),158 (3%),582 (8%),256 (26%),1,50,1,1,2,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 04sec,837453 (3.579ms),143248 (12%),164927 (6%),300 (6%),577 (8%),254 (26%),1,50,1,1,7,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 31sec,1156805 (4.944ms),137220 (11%),158927 (6%),174 (4%),594 (8%),256 (26%),10,50,1,1,1,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 21sec,1470793 (6.285ms),137211 (11%),158938 (6%),174 (4%),594 (8%),256 (26%),20,50,1,1,1,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 37sec,927002 (3.962ms),138991 (11%),158740 (6%),170 (3%),591 (8%),254 (26%),1,50,10,1,1,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 37sec,1017990 (4.35ms),138995 (11%),158752 (6%),182 (4%),591 (8%),254 (26%),1,50,20,1,1,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
05min 55sec,837454 (3.579ms),143343 (12%),164988 (6%),300 (6%),577 (8%),254 (26%),1,50,1,1,5,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 35sec,836366 (3.574ms),140469 (11%),158423 (6%),158 (3%),577 (8%),256 (26%),1,50,1,1,10,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 32sec,836366 (3.574ms),140497 (11%),158426 (6%),158 (3%),577 (8%),256 (26%),1,50,1,1,14,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
07min 25sec,1428725 (6.106ms),161173 (13%),226973 (9%),180 (4%),577 (8%),254 (26%),1,50,1,1,1,10,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 53sec,968438 (4.139ms),139736 (11%),159833 (6%),174 (4%),592 (8%),256 (26%),4,50,1,1,10,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 59sec,968438 (4.139ms),139764 (11%),159836 (6%),174 (4%),592 (8%),256 (26%),4,50,1,1,14,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 59sec,881523 (3.767ms),141525 (11%),159640 (6%),170 (3%),588 (8%),254 (26%),1,50,5,1,10,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
07min 00sec,872435 (3.728ms),141548 (11%),159643 (6%),170 (3%),589 (8%),254 (26%),1,50,4,1,14,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 30sec,836369 (3.574ms),137934 (11%),157510 (6%),158 (3%),580 (8%),256 (26%),1,50,1,1,70,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
06min 33sec,836369 (3.574ms),137934 (11%),157510 (6%),158 (3%),580 (8%),256 (26%),1,50,1,1,70,1,1,5,10,off,off,off,off,off,off,1,1,1,1,1,1
