compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PIPE__L0,__TILE__L0
04min 02sec,1131805 (4.527ms),17502 (1%),14556 (~0%),226 (5%),13 (~0%),0 (~0%),1,1,1,off,1
05min 59sec,1133319 (4.533ms),16033 (1%),12181 (~0%),206 (4%),14 (~0%),0 (~0%),3,1,1,off,1
06min 00sec,1132929 (4.532ms),16026 (1%),12168 (~0%),206 (4%),14 (~0%),0 (~0%),5,1,1,off,1
06min 17sec,422005 (1.803ms),19868 (1%),18112 (~0%),460 (10%),30 (~0%),0 (~0%),1,10,1,off,1
05min 20sec,659924 (2.82ms),17329 (1%),16930 (~0%),286 (6%),15 (~0%),0 (~0%),1,5,1,off,1
06min 01sec,734785 (2.939ms),34951 (2%),19286 (~0%),226 (5%),13 (~0%),0 (~0%),1,2,1,off,1
06min 01sec,1051855 (4.207ms),17766 (1%),16679 (~0%),226 (5%),24 (~0%),0 (~0%),1,1,2,off,1
05min 45sec,1163804 (4.655ms),22917 (1%),25606 (1%),298 (6%),56 (~0%),0 (~0%),1,1,5,off,1
06min 20sec,987907 (3.952ms),26915 (2%),32060 (1%),482 (11%),128 (1%),0 (~0%),1,1,10,off,1
07min 11sec,349074 (1.505ms),191967 (16%),351129 (14%),982 (22%),3746 (54%),0 (~0%),1,410,1,off,1
05min 42sec,422739 (1.807ms),18329 (1%),15703 (~0%),440 (10%),32 (~0%),0 (~0%),5,10,1,off,1
04min 50sec,660670 (2.823ms),16143 (1%),15094 (~0%),266 (6%),18 (~0%),0 (~0%),5,5,1,off,1
05min 24sec,454020 (1.94ms),24166 (2%),27973 (1%),564 (13%),57 (~0%),0 (~0%),1,10,5,off,1
05min 09sec,532021 (2.274ms),22841 (1%),25920 (1%),414 (9%),57 (~0%),0 (~0%),1,5,5,off,1
07min 10sec,349074 (1.505ms),192715 (16%),351217 (14%),982 (22%),3747 (54%),0 (~0%),2,410,1,off,1
06min 55sec,348247 (1.501ms),190628 (16%),348607 (14%),962 (22%),3747 (54%),0 (~0%),3,410,1,off,1
07min 00sec,348247 (1.501ms),190627 (16%),348595 (14%),962 (22%),3747 (54%),0 (~0%),5,410,1,off,1
05min 11sec,1131805 (4.527ms),17502 (1%),14556 (~0%),226 (5%),13 (~0%),0 (~0%),1,1,1,off,1
06min 53sec,269124 (1.16ms),191454 (16%),352422 (14%),982 (22%),3746 (54%),0 (~0%),1,410,2,off,1
06min 40sec,381074 (1.643ms),194893 (16%),358749 (15%),1086 (25%),3746 (54%),0 (~0%),1,410,5,off,1
07min 04sec,205176 (0.884ms),194354 (16%),361129 (15%),1238 (28%),3762 (55%),0 (~0%),1,410,10,off,1
07min 06sec,204337 (0.881ms),192972 (16%),358595 (15%),1218 (28%),3763 (55%),0 (~0%),5,410,10,off,1
06min 53sec,268297 (1.156ms),190113 (16%),349888 (14%),962 (22%),3747 (54%),0 (~0%),5,410,2,off,1
04min 31sec,516042 (2.205ms),27046 (2%),34089 (1%),574 (13%),128 (1%),0 (~0%),1,5,10,off,1
04min 29sec,579974 (2.479ms),17515 (1%),18063 (~0%),318 (7%),23 (~0%),0 (~0%),1,5,2,off,1
57min 56sec,109462 (0.498ms),6101302 (516%),747613 (31%),1738 (40%),209 (3%),0 (~0%),1,410,410,off,1
58min 11sec,109462 (0.498ms),6101302 (516%),747613 (31%),1738 (40%),209 (3%),0 (~0%),1,410,410,off,1
06min 19sec,204337 (0.881ms),192973 (16%),358607 (15%),1218 (28%),3763 (55%),0 (~0%),3,410,10,off,1
06min 37sec,205699 (0.887ms),193040 (16%),358684 (15%),1220 (28%),3763 (55%),0 (~0%),6,410,10,off,1
