compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PARA__L3,__PARA__L4,__PARA__L6,__PIPE__L0,__PIPE__L1,__PIPE__L2,__PIPE__L5,__TILE__L0,__TILE__L1,__TILE__L2
03min 23sec,3541441 (14.166ms),15031 (1%),12550 (~0%),154 (3%),14 (~0%),0 (~0%),1,1,1,1,1,1,off,off,off,off,1,1,1
05min 55sec,3591053 (14.364ms),22396 (1%),44802 (1%),154 (3%),14 (~0%),0 (~0%),4,1,1,1,1,1,off,off,off,off,1,1,1
05min 50sec,3703628 (14.815ms),38576 (3%),29485 (1%),226 (5%),23 (~0%),0 (~0%),1,4,1,1,1,1,off,off,off,off,1,1,1
05min 18sec,3541441 (14.166ms),15162 (1%),12594 (~0%),154 (3%),14 (~0%),0 (~0%),1,1,4,1,1,1,off,off,off,off,1,1,1
05min 17sec,3525201 (14.101ms),17812 (1%),13705 (~0%),154 (3%),14 (~0%),0 (~0%),1,1,1,4,1,1,off,off,off,off,1,1,1
05min 08sec,3535441 (14.142ms),17562 (1%),14491 (~0%),154 (3%),23 (~0%),0 (~0%),1,1,1,1,4,1,off,off,off,off,1,1,1
05min 23sec,1224641 (4.899ms),20793 (1%),15350 (~0%),186 (4%),14 (~0%),0 (~0%),1,1,1,1,1,4,off,off,off,off,1,1,1
05min 45sec,1274253 (5.097ms),28115 (2%),47599 (2%),186 (4%),14 (~0%),0 (~0%),4,1,1,1,1,4,off,off,off,off,1,1,1
06min 11sec,1273593 (5.094ms),44789 (3%),158559 (6%),186 (4%),14 (~0%),0 (~0%),5,1,1,1,1,4,off,off,off,off,1,1,1
05min 39sec,3562093 (14.248ms),25127 (2%),45956 (1%),154 (3%),14 (~0%),0 (~0%),4,1,1,4,1,1,off,off,off,off,1,1,1
06min 01sec,3561433 (14.246ms),41801 (3%),156915 (6%),154 (3%),14 (~0%),0 (~0%),5,1,1,4,1,1,off,off,off,off,1,1,1
05min 44sec,1393228 (5.573ms),41295 (3%),30989 (1%),258 (5%),26 (~0%),0 (~0%),1,4,1,1,1,4,off,off,off,off,1,1,1
05min 43sec,3674668 (14.699ms),40727 (3%),30462 (1%),258 (5%),26 (~0%),0 (~0%),1,4,1,4,1,1,off,off,off,off,1,1,1
05min 12sec,1224641 (4.899ms),20924 (1%),15394 (~0%),186 (4%),14 (~0%),0 (~0%),1,1,4,1,1,4,off,off,off,off,1,1,1
05min 06sec,3525201 (14.101ms),17943 (1%),13749 (~0%),154 (3%),14 (~0%),0 (~0%),1,1,4,4,1,1,off,off,off,off,1,1,1
05min 12sec,1234125 (4.936ms),26984 (2%),26928 (1%),186 (4%),17 (~0%),0 (~0%),8,1,1,1,1,4,off,off,off,off,1,1,1
06min 25sec,1254905 (5.081ms),82691 (6%),218550 (9%),186 (4%),14 (~0%),0 (~0%),10,1,1,1,1,4,off,off,off,off,1,1,1
05min 37sec,1274253 (5.097ms),28246 (2%),47643 (2%),186 (4%),14 (~0%),0 (~0%),4,1,4,1,1,4,off,off,off,off,1,1,1
05min 42sec,1392870 (5.571ms),46362 (3%),33822 (1%),260 (6%),31 (~0%),0 (~0%),1,5,1,1,1,4,off,off,off,off,1,1,1
06min 02sec,1392148 (5.569ms),72274 (6%),47914 (2%),270 (6%),45 (~0%),0 (~0%),1,10,1,1,1,4,off,off,off,off,1,1,1
05min 42sec,1393228 (5.573ms),41700 (3%),31049 (1%),258 (5%),26 (~0%),0 (~0%),1,4,4,1,1,4,off,off,off,off,1,1,1
05min 04sec,1224641 (4.899ms),20926 (1%),15394 (~0%),186 (4%),14 (~0%),0 (~0%),1,1,8,1,1,4,off,off,off,off,1,1,1
05min 02sec,1195681 (5.11ms),21012 (1%),15745 (~0%),186 (4%),14 (~0%),0 (~0%),1,1,1,4,1,4,off,off,off,off,1,1,1
04min 59sec,1281073 (5.475ms),29092 (2%),37279 (1%),186 (4%),14 (~0%),0 (~0%),2,1,1,4,1,4,off,off,off,off,1,1,1
04min 53sec,1245293 (5.322ms),28281 (2%),47997 (2%),186 (4%),14 (~0%),0 (~0%),4,1,1,4,1,4,off,off,off,off,1,1,1
04min 48sec,1366228 (5.839ms),32353 (2%),25812 (1%),286 (6%),20 (~0%),0 (~0%),1,2,1,4,1,4,off,off,off,off,1,1,1
04min 59sec,1364268 (5.83ms),42759 (3%),31445 (1%),290 (6%),26 (~0%),0 (~0%),1,4,1,4,1,4,off,off,off,off,1,1,1
04min 19sec,1195681 (5.11ms),21142 (1%),15789 (~0%),186 (4%),14 (~0%),0 (~0%),1,1,2,4,1,4,off,off,off,off,1,1,1
04min 15sec,1195681 (5.11ms),21143 (1%),15789 (~0%),186 (4%),14 (~0%),0 (~0%),1,1,4,4,1,4,off,off,off,off,1,1,1
04min 14sec,1191681 (5.093ms),21873 (1%),16712 (~0%),186 (4%),17 (~0%),0 (~0%),1,1,1,4,2,4,off,off,off,off,1,1,1
