compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PARA__L3,__PIPE__L0,__PIPE__L2,__TILE__L0,__TILE__L2
03min 22sec,461231 (1.845ms),9031 (~0%),7483 (~0%),78 (1%),22 (~0%),4 (~0%),1,1,1,1,off,off,1,1
05min 25sec,489564 (1.958ms),9595 (~0%),7858 (~0%),90 (2%),24 (~0%),2 (~0%),2,1,1,1,off,off,1,1
05min 23sec,504718 (2.019ms),9632 (~0%),7858 (~0%),90 (2%),24 (~0%),2 (~0%),3,1,1,1,off,off,1,1
05min 13sec,459131 (1.837ms),8960 (~0%),7545 (~0%),78 (1%),22 (~0%),4 (~0%),1,2,1,1,off,off,1,1
05min 18sec,457874 (1.831ms),24350 (2%),28097 (1%),98 (2%),74 (1%),2 (~0%),1,5,1,1,off,off,1,1
05min 17sec,475631 (2.123ms),15714 (1%),8932 (~0%),78 (1%),23 (~0%),4 (~0%),1,1,2,1,off,off,1,1
05min 20sec,475631 (2.123ms),11237 (~0%),7861 (~0%),78 (1%),23 (~0%),4 (~0%),1,1,4,1,off,off,1,1
05min 18sec,293231 (1.173ms),9475 (~0%),8072 (~0%),78 (1%),25 (~0%),4 (~0%),1,1,1,2,off,off,1,1
05min 20sec,195248 (0.781ms),28488 (2%),32658 (1%),120 (2%),85 (1%),5 (~0%),1,1,1,5,off,off,1,1
05min 07sec,205658 (0.823ms),31474 (2%),34918 (1%),100 (2%),117 (1%),5 (~0%),2,1,1,5,off,off,1,1
05min 08sec,211852 (0.847ms),31522 (2%),34934 (1%),100 (2%),117 (1%),5 (~0%),3,1,1,5,off,off,1,1
05min 08sec,218089 (0.872ms),31471 (2%),34928 (1%),100 (2%),117 (1%),5 (~0%),4,1,1,5,off,off,1,1
05min 06sec,310364 (1.241ms),10040 (~0%),8447 (~0%),90 (2%),27 (~0%),2 (~0%),2,1,1,2,off,off,1,1
05min 07sec,319918 (1.28ms),10077 (~0%),8447 (~0%),90 (2%),27 (~0%),2 (~0%),3,1,1,2,off,off,1,1
05min 07sec,329515 (1.318ms),10031 (~0%),8453 (~0%),90 (2%),27 (~0%),2 (~0%),4,1,1,2,off,off,1,1
04min 55sec,176046 (0.704ms),30632 (2%),35048 (1%),156 (3%),107 (1%),0 (~0%),1,1,1,7,off,off,1,1
05min 08sec,158833 (0.635ms),32822 (2%),36608 (1%),138 (3%),140 (2%),0 (~0%),1,1,1,10,off,off,1,1
05min 26sec,167003 (0.668ms),38293 (3%),39778 (1%),118 (2%),172 (2%),0 (~0%),2,1,1,10,off,off,1,1
05min 26sec,172077 (0.688ms),38331 (3%),39804 (1%),118 (2%),172 (2%),0 (~0%),3,1,1,10,off,off,1,1
05min 26sec,177194 (0.709ms),38280 (3%),39798 (1%),118 (2%),172 (2%),0 (~0%),4,1,1,10,off,off,1,1
05min 19sec,185176 (0.741ms),34625 (2%),37675 (1%),128 (2%),139 (2%),0 (~0%),2,1,1,7,off,off,1,1
05min 19sec,190730 (0.763ms),34662 (2%),37675 (1%),128 (2%),139 (2%),0 (~0%),3,1,1,7,off,off,1,1
05min 15sec,196327 (0.785ms),34622 (2%),37689 (1%),128 (2%),139 (2%),0 (~0%),4,1,1,7,off,off,1,1
05min 28sec,35347 (0.151ms),39035 (3%),46217 (1%),218 (5%),162 (2%),0 (~0%),1,1,1,70,off,off,1,1
