compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PARA__L3,__PARA__L4,__PARA__L5,__PARA__L6,__PIPE__L0,__PIPE__L1,__PIPE__L3,__TILE__L0,__TILE__L1,__TILE__L3
05min 19sec,1826012 (7.304ms),33552 (2%),31631 (1%),526 (12%),24 (~0%),0 (~0%),1,1,1,1,1,1,1,off,off,off,1,1,1
06min 41sec,1829659 (7.319ms),37881 (3%),35082 (1%),830 (19%),39 (~0%),0 (~0%),4,1,1,1,1,1,1,off,off,off,1,1,1
06min 35sec,1823611 (7.294ms),36619 (3%),34247 (1%),834 (19%),40 (~0%),0 (~0%),5,1,1,1,1,1,1,off,off,off,1,1,1
07min 45sec,2005712 (8.023ms),41898 (3%),64435 (2%),526 (12%),24 (~0%),0 (~0%),1,4,1,1,1,1,1,off,off,off,1,1,1
08min 24sec,2002412 (8.01ms),58635 (4%),175395 (7%),526 (12%),24 (~0%),0 (~0%),1,5,1,1,1,1,1,off,off,off,1,1,1
07min 31sec,2005712 (8.023ms),39975 (3%),62648 (2%),526 (12%),24 (~0%),0 (~0%),1,1,1,4,1,1,1,off,off,off,1,1,1
07min 54sec,2002412 (8.01ms),56693 (4%),173609 (7%),526 (12%),24 (~0%),0 (~0%),1,1,1,5,1,1,1,off,off,off,1,1,1
06min 36sec,1233282 (4.933ms),36463 (3%),33491 (1%),782 (18%),26 (~0%),0 (~0%),1,1,1,1,1,4,1,off,off,off,1,1,1
06min 30sec,1194764 (5.106ms),39890 (3%),35046 (1%),1304 (30%),29 (~0%),0 (~0%),1,1,1,1,1,5,1,off,off,off,1,1,1
06min 19sec,1197259 (5.116ms),40257 (3%),37412 (1%),584 (13%),50 (~0%),40 (4%),4,1,1,1,1,5,1,off,off,off,1,1,1
07min 08sec,1374664 (5.875ms),46992 (3%),57799 (2%),1304 (30%),29 (~0%),0 (~0%),1,4,1,1,1,5,1,off,off,off,1,1,1
07min 44sec,1371564 (5.861ms),60184 (5%),80383 (3%),1304 (30%),29 (~0%),0 (~0%),1,5,1,1,1,5,1,off,off,off,1,1,1
06min 01sec,1195144 (5.107ms),40195 (3%),35674 (1%),1314 (30%),29 (~0%),0 (~0%),1,1,5,1,1,5,1,off,off,off,1,1,1
07min 22sec,1371164 (5.86ms),58233 (4%),78613 (3%),1304 (30%),29 (~0%),0 (~0%),1,1,1,5,1,5,1,off,off,off,1,1,1
11min 10sec,1214764 (5.191ms),46619 (3%),46895 (1%),1324 (30%),29 (~0%),0 (~0%),1,1,1,1,5,5,1,off,off,off,1,1,1
06min 30sec,1136812 (4.547ms),41077 (3%),37849 (1%),1294 (29%),48 (~0%),0 (~0%),1,1,1,1,1,8,1,off,off,off,1,1,1
06min 34sec,561964 (2.412ms),42532 (3%),36619 (1%),1304 (30%),29 (~0%),0 (~0%),1,1,1,1,1,5,5,off,off,off,1,1,1
05min 27sec,844487 (3.624ms),41875 (3%),39907 (1%),600 (13%),47 (~0%),3 (~0%),4,1,1,1,1,5,5,off,off,off,1,1,1
05min 57sec,1138859 (4.555ms),43555 (3%),40266 (1%),574 (13%),72 (1%),64 (6%),4,1,1,1,1,8,1,off,off,off,1,1,1
06min 39sec,741864 (3.184ms),49578 (4%),59372 (2%),1304 (30%),29 (~0%),0 (~0%),1,4,1,1,1,5,5,off,off,off,1,1,1
06min 36sec,1316912 (5.268ms),49352 (4%),70654 (2%),1294 (29%),48 (~0%),0 (~0%),1,4,1,1,1,8,1,off,off,off,1,1,1
06min 03sec,561834 (2.411ms),42774 (3%),36939 (1%),1304 (30%),29 (~0%),0 (~0%),1,1,2,1,1,5,5,off,off,off,1,1,1
06min 34sec,741864 (3.184ms),47637 (4%),57601 (2%),1304 (30%),29 (~0%),0 (~0%),1,1,1,4,1,5,5,off,off,off,1,1,1
06min 23sec,1116561 (4.772ms),48452 (4%),40641 (1%),248 (5%),55 (~0%),64 (6%),1,1,1,1,1,10,1,off,off,off,1,1,1
06min 15sec,741734 (3.183ms),49409 (4%),59692 (2%),1304 (30%),29 (~0%),0 (~0%),1,4,2,1,1,5,5,off,off,off,1,1,1
06min 36sec,738634 (3.17ms),62601 (5%),82276 (3%),1304 (30%),29 (~0%),0 (~0%),1,5,2,1,1,5,5,off,off,off,1,1,1
06min 00sec,741665 (3.183ms),47468 (4%),57921 (2%),1304 (30%),29 (~0%),0 (~0%),1,1,2,4,1,5,5,off,off,off,1,1,1
05min 27sec,1826012 (7.304ms),33552 (2%),31631 (1%),526 (12%),24 (~0%),0 (~0%),1,1,1,1,1,1,1,off,off,off,1,1,1
09min 15sec,1908972 (7.76ms),96490 (8%),235771 (9%),526 (12%),24 (~0%),0 (~0%),1,10,1,1,1,1,1,off,off,off,1,1,1
07min 48sec,2005712 (8.023ms),39975 (3%),62648 (2%),526 (12%),24 (~0%),0 (~0%),1,1,1,4,1,1,1,off,off,off,1,1,1
06min 58sec,1088411 (4.651ms),52015 (4%),46707 (1%),270 (6%),84 (1%),64 (6%),1,1,1,1,1,16,1,off,off,off,1,1,1
06min 58sec,1676012 (6.704ms),62241 (5%),64917 (2%),782 (18%),354 (5%),0 (~0%),1,1,1,1,16,1,1,off,off,off,1,1,1
07min 13sec,1825662 (7.303ms),37697 (3%),35647 (1%),526 (12%),42 (~0%),0 (~0%),1,1,8,1,1,1,1,off,off,off,1,1,1
06min 57sec,1672541 (6.69ms),101727 (8%),108222 (4%),1070 (24%),670 (9%),0 (~0%),1,1,1,1,25,1,1,off,off,off,1,1,1
06min 01sec,1091139 (4.663ms),59076 (4%),56877 (2%),270 (6%),106 (1%),64 (6%),1,8,1,1,1,16,1,off,off,off,1,1,1
05min 49sec,1136812 (4.547ms),41077 (3%),37849 (1%),1294 (29%),48 (~0%),0 (~0%),1,1,1,1,1,8,1,off,off,off,1,1,1
06min 05sec,1704757 (6.819ms),105913 (8%),115785 (4%),1070 (24%),681 (9%),0 (~0%),1,1,1,8,25,1,1,off,off,off,1,1,1
39min 47sec,924191 (3.95ms),248202 (20%),144972 (6%),1056 (24%),671 (9%),0 (~0%),1,1,1,1,25,20,1,off,off,off,1,1,1
05min 51sec,2108965 (8.436ms),87423 (7%),86722 (3%),448 (10%),563 (8%),0 (~0%),10,1,1,1,25,1,1,off,off,off,1,1,1
07min 37sec,1705533 (6.822ms),204598 (17%),239269 (10%),1070 (24%),671 (9%),0 (~0%),1,25,1,1,25,1,1,off,off,off,1,1,1
06min 10sec,1674141 (6.697ms),89546 (7%),94253 (3%),882 (20%),560 (8%),0 (~0%),1,1,1,1,20,1,1,off,off,off,1,1,1
05min 53sec,938411 (4.01ms),89977 (7%),83680 (3%),270 (6%),356 (5%),128 (13%),1,1,1,1,16,16,1,off,off,off,1,1,1
39min 44sec,954775 (4.08ms),260893 (22%),161357 (6%),1056 (24%),774 (11%),0 (~0%),1,8,1,1,25,20,1,off,off,off,1,1,1
05min 41sec,228011 (0.979ms),102158 (8%),88539 (3%),270 (6%),356 (5%),128 (13%),1,1,1,1,16,16,10,off,off,off,1,1,1
05min 37sec,1002381 (4.284ms),95584 (8%),101495 (4%),270 (6%),367 (5%),128 (13%),1,1,1,16,16,16,1,off,off,off,1,1,1
54min 03sec,238591 (1.024ms),292495 (24%),557632 (23%),1056 (24%),679 (9%),0 (~0%),1,1,1,1,25,20,8,off,off,off,1,1,1
06min 44sec,1021771 (4.367ms),152835 (12%),287432 (12%),270 (6%),356 (5%),128 (13%),1,10,1,1,16,16,1,off,off,off,1,1,1
05min 01sec,1083282 (4.333ms),67896 (5%),67450 (2%),1294 (29%),356 (5%),0 (~0%),1,1,1,1,16,4,1,off,off,off,1,1,1
05min 10sec,200011 (0.858ms),91319 (7%),88701 (3%),270 (6%),356 (5%),128 (13%),1,1,1,1,16,16,16,off,off,off,1,1,1
11min 13sec,933741 (3.99ms),170279 (14%),127661 (5%),1070 (24%),671 (9%),0 (~0%),1,1,1,1,25,16,1,off,off,off,1,1,1
05min 43sec,204645 (0.878ms),81210 (6%),82037 (3%),842 (19%),439 (6%),128 (13%),10,1,1,1,16,16,16,off,off,off,1,1,1
05min 46sec,204491 (0.878ms),98153 (8%),103414 (4%),256 (5%),388 (5%),128 (13%),1,1,20,1,16,16,16,off,off,off,1,1,1
12min 20sec,182411 (0.786ms),142241 (12%),95553 (4%),270 (6%),356 (5%),128 (13%),1,1,1,1,16,16,25,off,off,off,1,1,1
32min 27sec,200141 (0.859ms),207241 (17%),134103 (5%),1070 (24%),687 (10%),0 (~0%),1,1,1,1,25,16,16,off,off,off,1,1,1
05min 40sec,205405 (0.878ms),103080 (8%),110227 (4%),270 (6%),436 (6%),128 (13%),1,16,1,1,16,16,16,off,off,off,1,1,1
