compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PARA__L3,__PARA__L4,__PIPE__L0,__PIPE__L1,__PIPE__L2,__TILE__L0,__TILE__L1,__TILE__L2
03min 18sec,625124 (2.5ms),14761 (1%),14897 (~0%),124 (2%),20 (~0%),0 (~0%),1,1,1,1,1,off,off,off,1,1,1
05min 03sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),1,8,1,1,1,off,off,off,1,1,1
05min 04sec,2537684 (11.535ms),19045 (1%),15590 (~0%),238 (5%),43 (~0%),0 (~0%),1,1,8,1,1,off,off,off,1,1,1
05min 15sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),1,1,1,8,1,off,off,off,1,1,1
05min 11sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),1,1,1,1,8,off,off,off,1,1,1
05min 03sec,2513964 (11.427ms),19269 (1%),15827 (~0%),234 (5%),42 (~0%),0 (~0%),1,4,1,1,1,off,off,off,1,1,1
05min 09sec,2513964 (11.427ms),19269 (1%),15827 (~0%),234 (5%),42 (~0%),0 (~0%),1,1,4,1,1,off,off,off,1,1,1
05min 07sec,1012244 (4.049ms),25609 (2%),25793 (1%),124 (2%),80 (1%),0 (~0%),1,1,1,4,1,off,off,off,1,1,1
05min 05sec,1012244 (4.049ms),25609 (2%),25793 (1%),124 (2%),80 (1%),0 (~0%),1,1,1,1,4,off,off,off,1,1,1
04min 55sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),2,1,1,8,1,off,off,off,1,1,1
04min 59sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),4,1,1,8,1,off,off,off,1,1,1
04min 59sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),5,1,1,8,1,off,off,off,1,1,1
05min 15sec,2505404 (10.022ms),52609 (4%),46950 (1%),230 (5%),183 (2%),0 (~0%),1,2,1,8,1,off,off,off,1,1,1
05min 17sec,2513964 (10.056ms),50328 (4%),49829 (2%),230 (5%),184 (2%),0 (~0%),1,4,1,8,1,off,off,off,1,1,1
04min 59sec,2537684 (10.151ms),46878 (3%),43899 (1%),262 (6%),184 (2%),0 (~0%),1,8,1,8,1,off,off,off,1,1,1
04min 51sec,2234324 (8.937ms),41557 (3%),35948 (1%),74 (1%),191 (2%),20 (2%),1,1,2,8,1,off,off,off,1,1,1
04min 49sec,2641244 (12.006ms),40393 (3%),34139 (1%),74 (1%),185 (2%),20 (2%),1,1,4,8,1,off,off,off,1,1,1
05min 13sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),8,1,1,8,1,off,off,off,1,1,1
05min 13sec,973524 (3.894ms),42852 (3%),40374 (1%),124 (2%),160 (2%),0 (~0%),20,1,1,8,1,off,off,off,1,1,1
05min 25sec,2627004 (10.508ms),49175 (4%),48813 (2%),262 (6%),184 (2%),0 (~0%),1,22,1,8,1,off,off,off,1,1,1
05min 06sec,2523204 (10.783ms),43360 (3%),38470 (1%),262 (6%),163 (2%),0 (~0%),1,88,1,8,1,off,off,off,1,1,1
05min 04sec,2670284 (12.138ms),40297 (3%),34152 (1%),78 (1%),186 (2%),20 (2%),1,1,8,8,1,off,off,off,1,1,1
05min 04sec,2285444 (10.388ms),41559 (3%),36786 (1%),78 (1%),192 (2%),20 (2%),1,1,11,8,1,off,off,off,1,1,1
05min 05sec,2355924 (11.78ms),41557 (3%),36790 (1%),70 (1%),192 (2%),22 (2%),1,1,22,8,1,off,off,off,1,1,1
05min 34sec,238164 (0.953ms),35805 (3%),29672 (1%),124 (2%),57 (~0%),0 (~0%),1,1,1,8,8,off,off,off,1,1,1
05min 09sec,238164 (0.953ms),35805 (3%),29672 (1%),124 (2%),57 (~0%),0 (~0%),4,1,1,8,8,off,off,off,1,1,1
05min 09sec,238164 (0.953ms),35805 (3%),29672 (1%),124 (2%),57 (~0%),0 (~0%),5,1,1,8,8,off,off,off,1,1,1
05min 12sec,2242884 (8.972ms),55415 (4%),47805 (2%),70 (1%),213 (3%),20 (2%),1,4,1,8,8,off,off,off,1,1,1
05min 02sec,2266604 (9.066ms),53883 (4%),46598 (1%),102 (2%),230 (3%),20 (2%),1,8,1,8,8,off,off,off,1,1,1
05min 12sec,2242884 (8.972ms),55415 (4%),47805 (2%),70 (1%),213 (3%),20 (2%),1,1,4,8,8,off,off,off,1,1,1
04min 56sec,2266604 (9.066ms),53883 (4%),46598 (1%),102 (2%),230 (3%),20 (2%),1,1,8,8,8,off,off,off,1,1,1
05min 06sec,238164 (0.953ms),35805 (3%),29672 (1%),124 (2%),57 (~0%),0 (~0%),8,1,1,8,8,off,off,off,1,1,1
05min 05sec,238164 (0.953ms),35805 (3%),29672 (1%),124 (2%),57 (~0%),0 (~0%),8,1,1,8,8,off,off,off,1,1,1
04min 58sec,2266604 (9.066ms),53883 (4%),46598 (1%),102 (2%),230 (3%),20 (2%),4,8,1,8,8,off,off,off,1,1,1
05min 15sec,2234324 (8.937ms),57564 (4%),48592 (2%),70 (1%),212 (3%),20 (2%),1,1,2,8,8,off,off,off,1,1,1
05min 07sec,2285444 (9.142ms),54264 (4%),46791 (1%),102 (2%),213 (3%),20 (2%),1,1,11,8,8,off,off,off,1,1,1
05min 16sec,2234324 (8.937ms),57564 (4%),48592 (2%),70 (1%),212 (3%),20 (2%),4,1,2,8,8,off,off,off,1,1,1
04min 53sec,2266604 (9.066ms),53883 (4%),46598 (1%),102 (2%),230 (3%),20 (2%),4,1,8,8,8,off,off,off,1,1,1
60min 00sec,,,,,,,1,1,1,8,8,flatten,off,off,1,1,1
04min 30sec,238164 (0.953ms),35805 (3%),29672 (1%),124 (2%),57 (~0%),0 (~0%),10,1,1,8,8,off,off,off,1,1,1
04min 28sec,238164 (0.953ms),35805 (3%),29672 (1%),124 (2%),57 (~0%),0 (~0%),20,1,1,8,8,off,off,off,1,1,1
04min 35sec,238164 (0.953ms),35805 (3%),29672 (1%),124 (2%),57 (~0%),0 (~0%),10,1,1,8,8,off,off,off,1,1,1
04min 39sec,2355924 (9.424ms),54262 (4%),46801 (1%),102 (2%),213 (3%),20 (2%),1,22,1,8,8,off,off,off,1,1,1
04min 15sec,2329724 (9.956ms),46008 (3%),38588 (1%),102 (2%),172 (2%),20 (2%),1,1,88,8,8,off,off,off,1,1,1
04min 16sec,238164 (0.953ms),35805 (3%),29672 (1%),124 (2%),57 (~0%),0 (~0%),40,1,1,8,8,off,off,off,1,1,1
04min 24sec,238164 (0.953ms),35805 (3%),29672 (1%),124 (2%),57 (~0%),0 (~0%),40,1,1,8,8,off,off,off,1,1,1
04min 05sec,2329684 (9.956ms),46003 (3%),38587 (1%),102 (2%),172 (2%),20 (2%),1,88,1,8,8,off,off,off,1,1,1
04min 25sec,2285444 (9.142ms),54264 (4%),46791 (1%),102 (2%),213 (3%),20 (2%),1,11,1,8,8,off,off,off,1,1,1
04min 23sec,2285444 (9.142ms),54264 (4%),46791 (1%),102 (2%),213 (3%),20 (2%),4,11,1,8,8,off,off,off,1,1,1
04min 24sec,2285444 (9.142ms),54264 (4%),46791 (1%),102 (2%),213 (3%),20 (2%),4,1,11,8,8,off,off,off,1,1,1
04min 24sec,2355924 (9.424ms),54262 (4%),46801 (1%),102 (2%),213 (3%),20 (2%),4,1,22,8,8,off,off,off,1,1,1
04min 25sec,2355924 (9.424ms),54262 (4%),46801 (1%),102 (2%),213 (3%),20 (2%),1,1,22,8,8,off,off,off,1,1,1
04min 18sec,238164 (0.953ms),35805 (3%),29672 (1%),124 (2%),57 (~0%),0 (~0%),2,1,1,8,8,off,off,off,1,1,1
04min 12sec,238164 (0.953ms),35805 (3%),29672 (1%),124 (2%),57 (~0%),0 (~0%),2,1,1,8,8,off,off,off,1,1,1
04min 19sec,2355924 (9.424ms),54262 (4%),46801 (1%),102 (2%),213 (3%),20 (2%),4,22,1,8,8,off,off,off,1,1,1
04min 04sec,2329724 (9.956ms),46008 (3%),38588 (1%),102 (2%),172 (2%),20 (2%),4,1,88,8,8,off,off,off,1,1,1
60min 00sec,,,,,,,4,1,1,8,8,off,flatten,off,1,1,1
60min 00sec,,,,,,,4,1,1,8,8,off,off,flatten,1,1,1
04min 20sec,2242884 (8.972ms),55415 (4%),47805 (2%),70 (1%),213 (3%),20 (2%),4,4,1,8,8,off,off,off,1,1,1
