compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PARA__L3,__PIPE__L0,__PIPE__L1,__TILE__L0,__TILE__L1
03min 39sec,1653474 (6.614ms),18749 (1%),17018 (~0%),662 (15%),13 (~0%),0 (~0%),1,1,1,1,off,off,1,1
03min 41sec,1686474 (7.529ms),22954 (1%),24586 (1%),662 (15%),25 (~0%),0 (~0%),8,1,1,1,off,off,1,1
05min 42sec,1718612 (7.672ms),24376 (2%),34845 (1%),662 (15%),25 (~0%),0 (~0%),16,1,1,1,off,off,1,1
05min 50sec,1684688 (6.739ms),22761 (1%),24517 (1%),662 (15%),24 (~0%),0 (~0%),1,8,1,1,off,off,1,1
06min 06sec,1716762 (6.867ms),24438 (2%),34920 (1%),662 (15%),24 (~0%),0 (~0%),1,16,1,1,off,off,1,1
03min 43sec,961874 (3.847ms),21318 (1%),20899 (~0%),662 (15%),30 (~0%),0 (~0%),1,1,8,1,off,off,1,1
05min 49sec,913874 (3.905ms),26775 (2%),27056 (1%),918 (21%),58 (~0%),0 (~0%),1,1,16,1,off,off,1,1
06min 03sec,961874 (3.847ms),24115 (2%),21071 (~0%),406 (9%),30 (~0%),64 (6%),1,1,1,8,off,off,1,1
06min 13sec,913874 (3.905ms),31442 (2%),26647 (1%),406 (9%),58 (~0%),128 (13%),1,1,1,16,off,off,1,1
04min 31sec,1834674 (8.191ms),25224 (2%),48053 (2%),662 (15%),14 (~0%),0 (~0%),4,1,1,1,off,off,1,1
05min 10sec,1830915 (7.324ms),42030 (3%),159094 (6%),662 (15%),14 (~0%),0 (~0%),5,1,1,1,off,off,1,1
06min 42sec,1679455 (6.718ms),37467 (3%),64185 (2%),662 (15%),14 (~0%),0 (~0%),20,1,1,1,off,off,1,1
07min 28sec,907207 (3.629ms),576185 (48%),212057 (8%),456 (10%),287 (4%),0 (~0%),25,1,1,1,off,off,1,1
05min 09sec,1832652 (7.331ms),25227 (2%),48032 (2%),662 (15%),13 (~0%),0 (~0%),1,4,1,1,off,off,1,1
05min 26sec,1856311 (7.546ms),78804 (6%),217402 (9%),256 (5%),12 (~0%),0 (~0%),1,10,1,1,off,off,1,1
04min 19sec,1059944 (4.24ms),20322 (1%),18379 (~0%),662 (15%),16 (~0%),0 (~0%),1,1,4,1,off,off,1,1
04min 41sec,942274 (4.027ms),24513 (2%),20584 (~0%),384 (8%),30 (~0%),80 (8%),1,1,1,10,off,off,1,1
05min 40sec,1737355 (7.062ms),79962 (6%),219146 (9%),662 (15%),14 (~0%),0 (~0%),10,1,1,1,off,off,1,1
04min 39sec,1718131 (6.873ms),36616 (3%),63024 (2%),392 (9%),12 (~0%),0 (~0%),1,20,1,1,off,off,1,1
05min 27sec,1176276 (5.027ms),29388 (2%),32161 (1%),982 (22%),70 (1%),0 (~0%),1,1,25,1,off,off,1,1
04min 20sec,1027012 (4.585ms),29772 (2%),38898 (1%),406 (9%),42 (~0%),64 (6%),16,1,1,8,off,off,1,1
04min 12sec,994874 (4.441ms),28350 (2%),28639 (1%),406 (9%),42 (~0%),64 (6%),8,1,1,8,off,off,1,1
04min 40sec,862111 (3.7ms),45087 (3%),56385 (2%),406 (9%),157 (2%),64 (6%),1,8,1,8,off,off,1,1
05min 05sec,979261 (4.203ms),49542 (4%),62948 (2%),174 (4%),194 (2%),80 (8%),1,10,1,8,off,off,1,1
04min 25sec,270274 (1.081ms),24501 (2%),22952 (~0%),406 (9%),30 (~0%),64 (6%),1,1,8,8,off,off,1,1
04min 40sec,174274 (0.748ms),34319 (2%),31855 (1%),662 (15%),58 (~0%),128 (13%),1,1,16,16,off,off,1,1
04min 39sec,942274 (4.027ms),24513 (2%),20584 (~0%),384 (8%),30 (~0%),80 (8%),1,1,1,10,off,off,1,1
04min 01sec,895111 (3.996ms),49039 (4%),63953 (2%),406 (9%),169 (2%),64 (6%),8,8,1,8,off,off,1,1
05min 58sec,945592 (4.058ms),106316 (8%),258512 (10%),406 (9%),158 (2%),64 (6%),10,8,1,8,off,off,1,1
03min 54sec,945088 (4.039ms),30790 (2%),34555 (1%),918 (21%),69 (1%),0 (~0%),1,8,16,1,off,off,1,1
05min 48sec,1116711 (4.772ms),86610 (7%),227043 (9%),704 (16%),57 (~0%),0 (~0%),1,10,16,1,off,off,1,1
06min 29sec,851539 (3.871ms),145174 (12%),200556 (8%),408 (9%),881 (12%),0 (~0%),25,1,16,1,off,off,1,1
04min 37sec,854617 (3.668ms),72638 (6%),96443 (4%),406 (9%),308 (4%),128 (13%),1,8,1,16,off,off,1,1
