compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PARA__L3,__PIPE__L0,__PIPE__L1,__TILE__L0,__TILE__L1
03min 14sec,151557 (0.606ms),18758 (1%),16829 (~0%),150 (3%),11 (~0%),16 (1%),1,1,1,1,off,off,1,1
03min 42sec,180838 (0.723ms),30791 (2%),43562 (1%),150 (3%),22 (~0%),16 (1%),24,1,1,1,off,off,1,1
05min 26sec,180872 (0.723ms),30756 (2%),43562 (1%),150 (3%),22 (~0%),16 (1%),1,24,1,1,off,off,1,1
04min 14sec,89997 (0.385ms),25850 (2%),25802 (1%),202 (4%),56 (~0%),4 (~0%),1,1,20,1,off,off,1,1
04min 10sec,85198 (0.364ms),56035 (4%),63344 (2%),128 (2%),93 (1%),8 (~0%),1,1,1,30,off,off,1,1
03min 50sec,77723 (0.311ms),121532 (10%),153417 (6%),390 (9%),1320 (19%),8 (~0%),1,1,1,1,flatten,off,1,1
05min 42sec,77922 (0.312ms),220447 (18%),215215 (9%),150 (3%),1320 (19%),8 (~0%),1,1,1,1,off,flatten,1,1
08min 44sec,     ?,229574 (19%),604075 (25%),150 (3%),11 (~0%),16 (1%),15,1,1,1,off,off,1,1
04min 10sec,     ?,50198 (4%),112735 (4%),214 (4%),11 (~0%),0 (~0%),1,15,1,1,off,off,1,1
05min 55sec,     ?,53533 (4%),100125 (4%),150 (3%),11 (~0%),16 (1%),12,1,1,1,off,off,1,1
03min 52sec,162624 (0.65ms),36573 (3%),62914 (2%),136 (3%),11 (~0%),8 (~0%),1,20,1,1,off,off,1,1
03min 08sec,112321 (0.48ms),25593 (2%),26906 (1%),242 (5%),48 (~0%),0 (~0%),1,1,15,1,off,off,1,1
03min 28sec,86997 (0.372ms),30682 (2%),26055 (1%),390 (9%),48 (~0%),8 (~0%),1,1,1,15,off,off,1,1
06min 18sec,176445 (0.714ms),79895 (6%),219098 (9%),150 (3%),11 (~0%),16 (1%),10,1,1,1,off,off,1,1
04min 06sec,     ?,52654 (4%),99087 (4%),136 (3%),11 (~0%),8 (~0%),1,12,1,1,off,off,1,1
05min 16sec,161243 (0.645ms),22985 (1%),24436 (1%),150 (3%),22 (~0%),16 (1%),8,1,1,1,off,off,1,1
04min 42sec,187398 (0.759ms),78732 (6%),217353 (9%),256 (5%),11 (~0%),0 (~0%),1,10,1,1,off,off,1,1
05min 25sec,91797 (0.367ms),22111 (1%),21243 (~0%),122 (2%),39 (~0%),16 (1%),1,1,12,1,off,off,1,1
06min 06sec,     ?,77980 (6%),116362 (4%),256 (5%),11 (~0%),0 (~0%),1,30,1,1,off,off,1,1
05min 27sec,88077 (0.352ms),26604 (2%),22333 (~0%),328 (7%),39 (~0%),8 (~0%),1,1,1,12,off,off,1,1
05min 19sec,     ?,46312 (3%),125682 (5%),328 (7%),39 (~0%),8 (~0%),6,1,1,12,off,off,1,1
04min 34sec,97763 (0.391ms),30852 (2%),29940 (1%),328 (7%),50 (~0%),8 (~0%),8,1,1,12,off,off,1,1
04min 55sec,81368 (0.349ms),65797 (5%),86439 (3%),340 (7%),280 (4%),4 (~0%),10,1,12,1,off,off,1,1
11min 10sec,81431 (0.351ms),59800 (5%),82446 (3%),484 (11%),168 (2%),4 (~0%),15,1,12,1,off,off,1,1
05min 00sec,89485 (0.384ms),65493 (5%),85910 (3%),396 (9%),280 (4%),0 (~0%),1,10,1,12,off,off,1,1
05min 31sec,81774 (0.351ms),132051 (11%),176652 (7%),108 (2%),560 (8%),4 (~0%),1,20,1,12,off,off,1,1
04min 57sec,14243 (0.057ms),126462 (10%),156347 (6%),568 (13%),1320 (19%),0 (~0%),1,1,1,12,flatten,off,1,1
04min 09sec,81338 (0.349ms),76817 (6%),101731 (4%),396 (9%),336 (4%),4 (~0%),12,1,12,1,off,off,1,1
05min 07sec,     ?,100584 (8%),169734 (7%),340 (7%),280 (4%),4 (~0%),10,12,12,1,off,off,1,1
03min 38sec,28317 (0.122ms),25040 (2%),23853 (1%),204 (4%),39 (~0%),12 (1%),1,1,12,12,off,off,1,1
04min 24sec,19208 (0.082ms),67850 (5%),88207 (3%),398 (9%),280 (4%),0 (~0%),10,1,12,10,off,off,1,1
11min 42sec,77768 (0.311ms),1143748 (96%),1338608 (56%),128 (2%),13200 (192%),8 (~0%),10,1,12,1,flatten,off,1,1
05min 34sec,7601 (0.033ms),187733 (15%),228948 (9%),340 (7%),1320 (19%),0 (~0%),10,1,12,1,off,flatten,1,1
04min 29sec,17888 (0.077ms),68843 (5%),89369 (3%),422 (9%),280 (4%),0 (~0%),10,1,12,12,off,off,1,1
