compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PARA__L3,__PIPE__L0,__PIPE__L1,__TILE__L0,__TILE__L1
03min 23sec,1634101 (6.536ms),16207 (1%),16011 (~0%),218 (5%),30 (~0%),3 (~0%),1,1,1,1,off,off,1,1
05min 14sec,1634128 (6.537ms),17852 (1%),17118 (~0%),218 (5%),32 (~0%),3 (~0%),3,1,1,1,off,off,1,1
05min 24sec,1648504 (7.359ms),17182 (1%),16324 (~0%),218 (5%),33 (~0%),3 (~0%),4,1,1,1,off,off,1,1
05min 14sec,1634702 (6.539ms),27420 (2%),18223 (~0%),218 (5%),30 (~0%),3 (~0%),1,4,1,1,off,off,1,1
04min 57sec,1637105 (6.548ms),15351 (1%),17843 (~0%),218 (5%),38 (~0%),3 (~0%),1,5,1,1,off,off,1,1
05min 13sec,1634180 (6.537ms),35735 (3%),38430 (1%),234 (5%),67 (~0%),5 (~0%),1,1,3,1,off,off,1,1
05min 17sec,1634101 (6.536ms),23811 (2%),21343 (~0%),266 (6%),63 (~0%),2 (~0%),1,1,4,1,off,off,1,1
05min 24sec,1048514 (4.194ms),17447 (1%),17006 (~0%),234 (5%),27 (~0%),5 (~0%),1,1,1,3,off,off,1,1
05min 24sec,933301 (3.733ms),18168 (1%),17362 (~0%),266 (6%),30 (~0%),2 (~0%),1,1,1,4,off,off,1,1
05min 05sec,933331 (3.733ms),19939 (1%),18785 (~0%),266 (6%),34 (~0%),2 (~0%),3,1,1,4,off,off,1,1
05min 06sec,947715 (4.231ms),19335 (1%),18162 (~0%),266 (6%),34 (~0%),2 (~0%),4,1,1,4,off,off,1,1
05min 05sec,1067717 (4.767ms),18300 (1%),17262 (~0%),234 (5%),30 (~0%),5 (~0%),4,1,1,3,off,off,1,1
05min 07sec,933972 (3.736ms),27595 (2%),19236 (~0%),266 (6%),30 (~0%),2 (~0%),1,4,1,4,off,off,1,1
04min 42sec,974705 (3.899ms),16235 (1%),19110 (~0%),202 (4%),38 (~0%),6 (~0%),1,5,1,4,off,off,1,1
05min 00sec,1049185 (4.197ms),26814 (2%),18880 (~0%),234 (5%),27 (~0%),5 (~0%),1,4,1,3,off,off,1,1
04min 36sec,1089912 (4.36ms),15975 (1%),19080 (~0%),186 (4%),35 (~0%),8 (~0%),1,5,1,3,off,off,1,1
05min 04sec,717301 (2.869ms),25120 (2%),22217 (~0%),314 (7%),60 (~0%),1 (~0%),1,1,4,4,off,off,1,1
05min 19sec,731726 (3.267ms),26448 (2%),23602 (~0%),314 (7%),65 (~0%),1 (~0%),2,1,4,4,off,off,1,1
05min 13sec,731726 (3.267ms),26869 (2%),23665 (1%),314 (7%),65 (~0%),1 (~0%),4,1,4,4,off,off,1,1
05min 23sec,719172 (2.877ms),51716 (4%),28562 (1%),314 (7%),60 (~0%),1 (~0%),1,2,4,4,off,off,1,1
05min 17sec,717972 (2.872ms),33814 (2%),24149 (1%),314 (7%),60 (~0%),1 (~0%),1,4,4,4,off,off,1,1
04min 51sec,729904 (2.92ms),18654 (1%),21947 (~0%),186 (4%),60 (~0%),9 (~0%),1,5,4,4,off,off,1,1
04min 54sec,722134 (2.889ms),26952 (2%),24004 (1%),314 (7%),66 (~0%),1 (~0%),10,1,4,4,off,off,1,1
04min 48sec,717301 (2.869ms),23735 (2%),22008 (~0%),314 (7%),60 (~0%),1 (~0%),1,8,4,4,off,off,1,1
04min 38sec,719102 (2.876ms),18863 (1%),16986 (~0%),142 (3%),60 (~0%),5 (~0%),1,10,4,4,off,off,1,1
29min 06sec,21677 (0.087ms),286344 (24%),248400 (10%),154 (3%),676 (9%),1 (~0%),1,1,4,4,off,flatten,1,1
04min 59sec,754173 (3.367ms),27468 (2%),24249 (1%),314 (7%),68 (~0%),1 (~0%),3,1,4,4,off,off,2,1
28min 42sec,21704 (0.089ms),290250 (24%),250793 (10%),154 (3%),678 (9%),1 (~0%),3,1,4,4,off,flatten,1,1
04min 18sec,717334 (2.869ms),27005 (2%),24056 (1%),314 (7%),66 (~0%),1 (~0%),12,1,4,4,off,off,1,1
04min 08sec,717301 (2.869ms),25120 (2%),22217 (~0%),314 (7%),60 (~0%),1 (~0%),1,80,4,4,off,off,1,1
04min 07sec,717301 (2.869ms),25832 (2%),22327 (~0%),314 (7%),60 (~0%),1 (~0%),1,16,4,4,off,off,1,1
04min 01sec,717902 (2.872ms),20661 (1%),18788 (~0%),158 (3%),60 (~0%),9 (~0%),1,20,4,4,off,off,1,1
41min 42sec,15078 (0.06ms),491356 (41%),504327 (21%),154 (3%),2682 (39%),1 (~0%),1,4,4,4,off,flatten,1,1
26min 48sec,21797 (0.087ms),436717 (36%),540100 (22%),130 (3%),3342 (48%),1 (~0%),1,5,4,4,off,flatten,1,1
29min 27sec,21680 (0.089ms),291693 (24%),249992 (10%),154 (3%),677 (9%),1 (~0%),2,1,4,4,off,flatten,1,1
36min 49sec,15221 (0.063ms),491049 (41%),505127 (21%),154 (3%),2683 (39%),1 (~0%),2,4,4,4,off,flatten,1,1
33min 20sec,15245 (0.062ms),490006 (41%),505935 (21%),154 (3%),2684 (39%),1 (~0%),3,4,4,4,off,flatten,1,1
33min 39sec,15221 (0.063ms),489255 (41%),505146 (21%),154 (3%),2683 (39%),1 (~0%),4,4,4,4,off,flatten,1,1
38min 13sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,4,4,off,flatten,1,1
38min 21sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,4,4,off,flatten,1,1
55min 11sec,14837 (0.059ms),858531 (72%),1036037 (43%),86 (1%),6673 (97%),1 (~0%),1,10,4,4,off,flatten,1,1
42min 08sec,15078 (0.06ms),491356 (41%),504327 (21%),154 (3%),2682 (39%),1 (~0%),1,4,2,4,off,flatten,1,1
42min 21sec,15078 (0.06ms),491356 (41%),504327 (21%),154 (3%),2682 (39%),1 (~0%),1,4,4,2,off,flatten,1,1
38min 17sec,13280 (0.053ms),692096 (58%),840287 (35%),154 (3%),5341 (78%),1 (~0%),2,8,4,4,off,flatten,1,1
37min 57sec,13304 (0.055ms),692919 (58%),841204 (35%),154 (3%),5342 (78%),1 (~0%),3,8,4,4,off,flatten,1,1
38min 16sec,13280 (0.053ms),692083 (58%),840288 (35%),154 (3%),5341 (78%),1 (~0%),4,8,4,4,off,flatten,1,1
60min 00sec,,,,,,,1,16,4,4,off,flatten,1,1
37min 16sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,2,4,off,flatten,1,1
46min 10sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,4,2,off,flatten,1,1
45min 50sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,4,2,off,flatten,1,1
37min 41sec,13303 (0.053ms),694311 (58%),840684 (35%),154 (3%),5342 (78%),1 (~0%),10,8,4,4,off,flatten,1,1
37min 35sec,13303 (0.053ms),694311 (58%),840684 (35%),154 (3%),5342 (78%),1 (~0%),10,8,4,4,off,flatten,1,1
60min 00sec,,,,,,,1,20,4,4,off,flatten,1,1
46min 20sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,5,4,off,flatten,1,1
46min 41sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,5,4,off,flatten,1,1
38min 29sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,4,5,off,flatten,1,1
38min 05sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,4,5,off,flatten,1,1
38min 49sec,13303 (0.053ms),694572 (58%),840719 (35%),154 (3%),5342 (78%),1 (~0%),12,8,4,4,off,flatten,1,1
38min 24sec,13303 (0.053ms),694572 (58%),840719 (35%),154 (3%),5342 (78%),1 (~0%),12,8,4,4,off,flatten,1,1
60min 00sec,,,,,,,1,80,4,4,off,flatten,1,1
38min 04sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,6,4,off,flatten,1,1
46min 11sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,6,4,off,flatten,1,1
38min 45sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,4,6,off,flatten,1,1
37min 41sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,4,6,off,flatten,1,1
38min 21sec,13303 (0.053ms),694413 (58%),840722 (35%),154 (3%),5342 (78%),1 (~0%),15,8,4,4,off,flatten,1,1
38min 23sec,13303 (0.053ms),694413 (58%),840722 (35%),154 (3%),5342 (78%),1 (~0%),15,8,4,4,off,flatten,1,1
47min 22sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,10,4,off,flatten,1,1
37min 57sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,10,4,off,flatten,1,1
47min 58sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,4,10,off,flatten,1,1
47min 08sec,13277 (0.053ms),690690 (58%),838873 (35%),154 (3%),5340 (78%),1 (~0%),1,8,4,10,off,flatten,1,1
60min 00sec,,,,,,,1,80,4,4,off,flatten,8,1
60min 00sec,,,,,,,1,16,4,4,off,flatten,8,1
