compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PARA__L3,__PIPE__L0,__PIPE__L2,__TILE__L0,__TILE__L2
03min 27sec,533981 (2.136ms),13542 (1%),11464 (~0%),94 (2%),22 (~0%),16 (1%),1,1,1,1,off,off,1,1
05min 33sec,586320 (2.345ms),17163 (1%),13294 (~0%),62 (1%),22 (~0%),16 (1%),4,1,1,1,off,off,1,1
05min 32sec,599538 (2.398ms),17183 (1%),13311 (~0%),62 (1%),24 (~0%),16 (1%),5,1,1,1,off,off,1,1
05min 18sec,529181 (2.117ms),14353 (1%),12981 (~0%),94 (2%),38 (~0%),16 (1%),1,4,1,1,off,off,1,1
05min 32sec,536541 (2.217ms),14459 (1%),12176 (~0%),94 (2%),22 (~0%),16 (1%),1,5,1,1,off,off,1,1
05min 09sec,404251 (1.617ms),16326 (1%),18177 (~0%),250 (5%),38 (~0%),0 (~0%),1,1,3,1,off,off,1,1
05min 16sec,538781 (2.155ms),13111 (1%),11261 (~0%),94 (2%),22 (~0%),16 (1%),1,1,4,1,off,off,1,1
05min 25sec,245981 (0.984ms),20428 (1%),18070 (~0%),158 (3%),88 (1%),8 (~0%),1,1,1,4,off,off,1,1
05min 40sec,769181 (3.287ms),18510 (1%),16757 (~0%),174 (4%),22 (~0%),8 (~0%),1,1,1,5,off,off,1,1
05min 26sec,269520 (1.078ms),24040 (2%),19900 (~0%),126 (2%),88 (1%),8 (~0%),4,1,1,4,off,off,1,1
05min 04sec,442894 (1.772ms),20050 (1%),20161 (~0%),218 (5%),38 (~0%),0 (~0%),4,1,3,1,off,off,1,1
05min 04sec,452688 (1.811ms),20288 (1%),20514 (~0%),218 (5%),40 (~0%),0 (~0%),5,1,3,1,off,off,1,1
05min 16sec,242383 (0.97ms),25630 (2%),19959 (~0%),158 (3%),88 (1%),8 (~0%),1,4,1,4,off,off,1,1
04min 55sec,399451 (1.598ms),16963 (1%),18948 (~0%),250 (5%),38 (~0%),0 (~0%),1,4,3,1,off,off,1,1
05min 27sec,111485 (0.446ms),34565 (2%),25545 (1%),186 (4%),104 (1%),8 (~0%),1,1,2,4,off,off,1,1
04min 55sec,116251 (0.465ms),22334 (1%),25417 (1%),186 (4%),104 (1%),8 (~0%),1,1,3,4,off,off,1,1
05min 16sec,250781 (1.003ms),19989 (1%),17863 (~0%),158 (3%),88 (1%),8 (~0%),1,1,4,4,off,off,1,1
05min 30sec,118778 (0.475ms),28333 (2%),25681 (1%),154 (3%),104 (1%),8 (~0%),4,1,2,4,off,off,1,1
05min 03sec,126094 (0.504ms),26062 (2%),27347 (1%),154 (3%),104 (1%),8 (~0%),4,1,3,4,off,off,1,1
05min 05sec,128688 (0.515ms),26300 (2%),27700 (1%),154 (3%),106 (1%),8 (~0%),5,1,3,4,off,off,1,1
05min 25sec,107486 (0.43ms),39751 (3%),27370 (1%),186 (4%),104 (1%),8 (~0%),1,4,2,4,off,off,1,1
04min 51sec,112252 (0.449ms),27520 (2%),27242 (1%),186 (4%),104 (1%),8 (~0%),1,4,3,4,off,off,1,1
04min 56sec,116249 (0.465ms),22239 (1%),25193 (1%),186 (4%),104 (1%),8 (~0%),1,1,5,4,off,off,1,1
04min 57sec,116249 (0.465ms),22239 (1%),25193 (1%),186 (4%),104 (1%),8 (~0%),1,1,5,4,off,off,1,1
05min 12sec,408571 (1.746ms),19886 (1%),23496 (~0%),226 (5%),30 (~0%),0 (~0%),1,1,3,5,off,off,1,1
05min 06sec,113476 (0.454ms),29168 (2%),26313 (1%),154 (3%),104 (1%),8 (~0%),4,4,2,4,off,off,1,1
05min 07sec,115970 (0.464ms),29188 (2%),26328 (1%),154 (3%),106 (1%),8 (~0%),5,4,2,4,off,off,1,1
05min 07sec,129259 (0.517ms),26802 (2%),24157 (1%),202 (4%),104 (1%),8 (~0%),8,1,2,4,off,off,1,1
04min 57sec,108285 (0.433ms),35082 (2%),25804 (1%),186 (4%),104 (1%),8 (~0%),1,2,2,4,off,off,1,1
05min 13sec,114045 (0.471ms),35482 (3%),26257 (1%),186 (4%),104 (1%),8 (~0%),1,5,2,4,off,off,1,1
