compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PIPE__L0,__PIPE__L1,__TILE__L0,__TILE__L1
03min 20sec,1547247 (6.189ms),7533 (~0%),6202 (~0%),94 (2%),11 (~0%),0 (~0%),1,1,1,off,off,1,1
05min 08sec,1550549 (6.202ms),21537 (1%),9609 (~0%),94 (2%),11 (~0%),0 (~0%),1,2,1,off,off,1,1
05min 03sec,1548149 (6.193ms),12381 (1%),7331 (~0%),94 (2%),11 (~0%),0 (~0%),1,4,1,off,off,1,1
04min 57sec,1564953 (6.26ms),7587 (~0%),6904 (~0%),94 (2%),11 (~0%),0 (~0%),1,5,1,off,off,1,1
05min 08sec,880047 (3.52ms),8361 (~0%),6723 (~0%),94 (2%),11 (~0%),0 (~0%),1,1,2,off,off,1,1
05min 14sec,644847 (2.579ms),11286 (~0%),7768 (~0%),102 (2%),14 (~0%),0 (~0%),1,1,3,off,off,1,1
05min 08sec,553647 (2.215ms),11385 (~0%),8203 (~0%),110 (2%),14 (~0%),0 (~0%),1,1,4,off,off,1,1
05min 08sec,1548148 (6.193ms),8668 (~0%),6430 (~0%),94 (2%),11 (~0%),0 (~0%),2,1,1,off,off,1,1
04min 57sec,1554762 (6.219ms),8544 (~0%),7966 (~0%),92 (2%),11 (~0%),1 (~0%),3,1,1,off,off,1,1
04min 56sec,553648 (2.215ms),12921 (1%),9204 (~0%),124 (2%),14 (~0%),0 (~0%),2,1,4,off,off,1,1
04min 37sec,561162 (2.245ms),11879 (1%),9988 (~0%),108 (2%),14 (~0%),0 (~0%),3,1,4,off,off,1,1
04min 58sec,553647 (2.215ms),13614 (1%),8338 (~0%),142 (3%),14 (~0%),0 (~0%),4,1,4,off,off,1,1
04min 57sec,556949 (2.228ms),25389 (2%),11901 (~0%),110 (2%),14 (~0%),0 (~0%),1,2,4,off,off,1,1
04min 57sec,554549 (2.218ms),16509 (1%),9080 (~0%),110 (2%),14 (~0%),0 (~0%),1,4,4,off,off,1,1
